cod_localidad;localidad;cod_prov;provincia;zona_cod;zona_descr;region_cod;region_descr;amba_interior;region_pais_cod;departamento;cp
148;Corrientes;10;Corrientes;8;NEA;4;NEA;INTERIOR;2;Capital;3400
152;Cruz Del Eje;3;Córdoba;2;Córdoba;2;Córdoba;INTERIOR;2;Cruz del Eje;5280
156;Daireaux;14;Buenos Aires;12;Sur;7;PBA;INTERIOR;2;Daireaux;6555
157;Dean Funes;3;Córdoba;2;Córdoba;2;Córdoba;INTERIOR;2;Ischilín;5123
137;Concordia;17;Entre Rios;7;Litoral;10;Litoral;INTERIOR;2;Concordia;3200
139;Constitución;8;Cap & Gba;1;CAP FED;6;CAP & GBA;AMBA;1;Comuna 1;1068
124;Ciudadela;8;Cap & Gba;5;GBA OESTE;6;GBA OESTE;AMBA;1;Tres de Febrero;1702
75;Burzaco;8;Cap & Gba;6;GBA SUR;6;GBA SUR;AMBA;1;Almirante Brown;1852
35;Avellaneda;8;Cap & Gba;6;GBA SUR;6;GBA SUR;AMBA;1;Quilmes;1878
37;Azul;14;Buenos Aires;12;PBA;7;PBA;INTERIOR;2;Azul;7300
632;Villa Ortuzar;8;Cap & Gba;1;CAP FED;6;CAP FED;AMBA;1;Comuna 15;1430
379;Villanueva;8;Cap & Gba;4;GBA NORTE;6;GBA NORTE;AMBA;1;General San Martín;1670
95;Caseros;8;Cap & Gba;4;GBA NORTE;6;GBA NORTE;AMBA;1;Tres de Febrero;1678
4;28 de Noviembre;22;Santa Cruz;12;Sur;5;Sur;INTERIOR;2;Güer Aike;9408
630;Villa Nueva;3;Córdoba;2;Córdoba;2;Córdoba;INTERIOR;2;General San Martín;5903
67;Bolivar;14;Buenos Aires;12;Sur;7;PBA;INTERIOR;2;Bolivar;6550
133;Comandante Luis Piedrabuena;22;Santa Cruz;12;Sur;5;Sur;INTERIOR;2;Corpen Aike;9303
79;Caleta Olivia;22;Santa Cruz;12;Sur;5;Sur;INTERIOR;2;Deseado;9011
118;Chos Malal;16;Neuquen;12;Sur;5;Sur;INTERIOR;2;Chos Malal;8353
27;Andacollo;16;Neuquen;12;Sur;5;Sur;INTERIOR;2;Minas;8354
93;Carmen de Patagones;14;Buenos Aires;12;Sur;5;Sur;INTERIOR;2;Patagones;8504
119;Chubut;7;Chubut;12;Sur;5;Sur;INTERIOR;2;Cushamen;9000
617;Villa La Angostura;16;Neuquen;12;Sur;5;Sur;INTERIOR;2;Los Lagos;8407
190;Fernandez Oro;5;Rio Negro;12;Sur;5;Sur;INTERIOR;2;General Roca;8325
18;Allen;5;Rio Negro;12;Sur;5;Sur;INTERIOR;2;Florencio Varela;8328
120;Cinco Saltos;5;Rio Negro;12;Sur;5;Sur;INTERIOR;2;General Roca;8303
100;Catriel;5;Rio Negro;12;Sur;5;Sur;INTERIOR;2;General Roca;8307
102;Centenario;16;Neuquen;12;Sur;5;Sur;INTERIOR;2;Confluencia;8309
74;Buenos Aires;5;Rio Negro;12;Sur;5;Sur;INTERIOR;2;Comuna 10;8300
338;Mari Meruco;16;Neuquen;12;Sur;5;Sur;INTERIOR;2;Confluencia;8300
39;Balcarce;14;Buenos Aires;12;PBA;7;PBA;INTERIOR;2;Balcarce;7620
51;Batán;14;Buenos Aires;12;PBA;11;Costa;INTERIOR;2;La Matanza;7601
112;Chascomus;14;Buenos Aires;12;PBA;7;PBA;INTERIOR;2;Chascomús;7130
36;Ayacucho;8;Cap & Gba;6;GBA SUR;6;GBA SUR;AMBA;1;Ayacucho;7150
614;Villa Gesell;14;Buenos Aires;12;PBA;11;Costa;INTERIOR;2;Villa Gesell;7165
116;Chivilcoy;14;Buenos Aires;12;PBA;7;PBA;INTERIOR;2;Chivilcoy;6620
72;Bragado;14;Buenos Aires;12;PBA;7;PBA;INTERIOR;2;Bragado;6640
92;Carmen de Areco;14;Buenos Aires;12;PBA;7;PBA;INTERIOR;2;Carmen de Areco;6725
94;Casbas;14;Buenos Aires;12;PBA;7;PBA;INTERIOR;2;Adolfo Alsina;6417
1;9 de Abril;14;Buenos Aires;12;PBA;7;PBA;INTERIOR;2;Esteban Echeverría;6500
89;Carlos Casares;14;Buenos Aires;12;Sur;7;PBA;INTERIOR;2;Carlos Casares;6530
644;Villa Valeria;3;Córdoba;2;Córdoba;2;Córdoba;INTERIOR;2;General Roca;6273
586;Vickuña Mackena;3;Córdoba;2;Córdoba;2;Córdoba;INTERIOR;2;Río Cuarto;6140
263;Juana Koslay;4;San Luis;3;Cuyo;1;Cuyo;INTERIOR;2;Juan Martín de Pueyrredón;5701
114;Chimbas;12;San Juan;3;Cuyo;1;Cuyo;INTERIOR;2;Chimbas;5413
49;Barrio Rawson;12;San Juan;3;Cuyo;1;Cuyo;INTERIOR;2;Rawson;5425
101;Caucete;12;San Juan;3;Cuyo;1;Cuyo;INTERIOR;2;Caucete;5442
90;Carlos Paz;3;Córdoba;2;Córdoba;2;Córdoba;INTERIOR;2;Punilla;5152
23;Alta Gracia;3;Córdoba;2;Córdoba;2;Córdoba;INTERIOR;2;Santa María;5186
626;Villa Maria;3;Córdoba;2;Córdoba;2;Córdoba;INTERIOR;2;General San Martín;5220
99;Catamarca;24;Catamarca;9;NOA Sur;9;NOA Sur;INTERIOR;2;Capital;4700
130;Colombres;13;Tucuman;9;NOA Sur;9;NOA Sur;INTERIOR;2;Cruz Alta;4111
111;Charata;19;Chaco;8;NEA;4;NEA;INTERIOR;2;Chacabuco;3730
